Название,Последний  релиз,Последний  релиз,Последний  релиз пред,Последний коммит пред,Текущая версия,Описание,Приотритет,Имя папки,Ссылка на GitHub,Уст компоненты,РидМи,Комментарий,Категория,,,,,,,,,
SubtleD's Stat Overhauls,02.2025,02.2025,N/A,N/A, ,"Перерабатывает систему характеристик (DEX, CON и т.д.)",320,SubtleD_Stat_Overhauls,https://github.com/subtledoctor/SubtleD_Stat_Overhauls/archive/refs/tags/1.8.1.zip,100 110 180,https://github.com/subtledoctor/SubtleD_Stat_Overhauls,"отключам DEX в ini файле

сомрим с остальными твикаим

SBO: Full Strength from 2-Hand Weapons Only - dont install
Plinkification - dont install
Magic Resistance Overhaul: Replace MR With Other Effects - dont install
No Murder XP - dont install
Hit Dice Overhaul (HDO): Revised Hit Point Progression - уст
Saving Throw Overhaul (STO) -уст
Experience Point Overhaul: Revised Tables  - ???",Умения,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
IWD,,,,,,,,,,,,,,,,,,,,,,
iwd1-in-eet,13-07-2026,N/A,N/A,N/A,source,,11,iwd1_eet,https://github.com/The-Gate-Project/IWD1_EET,0 1,https://arcanecoast.ru/forum/viewtopic.php?f=31&t=1247&start=1180, ,Доп. контент,,,,,,,,,
iwd2-in-eet,09-05-2026,N/A,N/A,N/A,source,,12,iwd2_eet,https://github.com/The-Gate-Project/IWD2_EET,0,Есть,,Доп. контент,,,,,,,,,
Icewind Dale in EET Party Banter,02-08-2025,N/A,N/A,N/A,source,,231,iwd_eet-party-banter,https://github.com/The-Gate-Project/iwd_eet-party-banter,0,Есть,,Доп. контент,,,,,,,,,
IWD_EET_End,15-08-2025,N/A,N/A,N/A,source,,232,iwd_eet_end,https://github.com/The-Gate-Project/IWD_EET_End,0,Есть,,Доп. контент,,,,,,,,,
IWD EET Integration,13-07-2026,N/A,N/A,N/A,source,,233,IWD_EET_integration,https://github.com/subtledoctor/IWD_EET_Integration,100 110 115 130 135 150 160,https://gibberlings3.github.io/Documentation/readmes/readme-cdtweaks.html, ,Доп. контент,,,,,,,,,
IWDification,29-07-2026,2025-07-12,N/A,N/A,11,"Добавляет заклинания, классы и предметы из IWD в BG2.",250,iwdification,https://github.com/Gibberlings3/iwdification/releases/download/v11/iwdification-v11.exe,130 140 190  71 160 170 120 30 40 80,https://gibberlings3.github.io/Documentation/readmes/readme-iwdification.html,"добавляет таблмцы заклинаний для рейнжеров и падаинов (с 6 а не 9)
можно оставить компонент друидов до фнп а все остальное после",Item/spell tweaks,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Разное,,,,,,,,,,,,,,,,,,,,,,
Bubbs-Spell-Menu-Extended,10.05.2026,10.05.2026,N/A,N/A,,"Меню заклинаний по уровням на экране, с поиском. Требует EEex",6,bubb_spell_menu_extended,https://github.com/Bubb13/Bubbs-Spell-Menu-Extended/archive/refs/tags/v5.2.zip,0,https://github.com/Bubb13/Bubbs-Spell-Menu-Extended, ,Меню,,,,,,,,,
LeUI,18-01-2025,18-01-2025,N/A,N/A,4.9.1,,7,LeUI,https://github.com/r-e-d/LeUI/releases/download/v4.9.1/lefreuts-enhanced-ui-bg2ee-skin-4.9.1.zip,0 1 2,Есть,,Интерфейс,,,,,,,,,
Subrace-mod,N/A,N/A,N/A,N/A,,"Позволяет выбрать суб-расы для главного героя (дроу, тифлинги, аасимары).",310,subrace,https://github.com/tipun81/Subrace-mod/archive/refs/tags/v0.3.1.zip,100,Есть,Есть несколько версий от разных авторов.,Подрасы,,,,,,,,,
Graphical Overhaul (BGGO),N/A,2024-06-30,N/A,N/A,,Масштабный визуальный ремастер для областей BG1 и BG2.,450,bggo,https://github.com/Spellhold-Studios/Baldurs-Gate-Graphical-Overhaul/releases/download/v3.6/baldurs-gate-graphical-overhaul-v3.6.zip,1 0,Есть,,Графика,,,,,,,,,
BP-BGT Worldmap,2006,2026-07-22,N/A,N/A,,"Огромная карта мира, объединяющая все локации BGT и EET.",500,bp-bgt-worldmap,https://github.com/SpellholdStudios/BP-BGT-Worldmap/releases/download/v13.1.1/worldmap-v13.1.1.zip,0 1 4,Есть,,Карта мира,,,,,,,,,
Spellhold-Studios  /  BGT-Tweak-Pack,N/A,N/A,N/A,N/A,,есть орция переносить персонажей во 2 часть с опытом, ,bgttweak,https://github.com/Spellhold-Studios/BGT-Tweak-Pack?ysclid=mndoyawjee823139661, ,Есть, , ,,,,,,,,,
